question_id,subject_id,type_id,grade_id,difficulty_id,content,answer,analysis,options,created_date,row_index
1561242324885504,1007.0,,3.0,,【详解】 第一空，此句是说老城在天底下怎么样，结合后文的阳光、暖和，可知第一空填“晒着”；故选 C 。 第二空：“安适”这一词语是人的感受，说明此句运用了拟人的手法，因此可从“睡着”“躺着”中选择，又结合后文有“醒”这一特点，因此第二个空格应用“睡着”，不用“躺着”。故选 A 。 第三空：春风是轻柔的特点，因此应该是“唤醒”更合适。“摇醒”不符合春风特点，“吹绿”不符合整句语境。故选 B 。,,,,1970-01-01 00:00:00,0.0
1561245920485376,1007.0,,3.0,,阅读下面语段，按要求答题。 徐霞客是我国明代旅行家、地理学家、文学家。他走遍了大半个中国，写下了许多游记。① 5月19日是“徐霞客游记”的开篇日，国务院把这一天确定为“中国旅游日”。 ② 这一举措，体现了国家对旅游业的高度重视，有利于不断增加国民的生活质量。 (1)画线句①有一处标点错误，请写出修改意见。 __(1)__ (2)画线句②有一处明显的语病，请写出修改意见。 __(2)__,,【分析】 【详解】 （1）“徐霞客游记”是一本书，应将引号改为书名号，即：《徐霞客游记》。 （2）搭配不当，“增加”与“质量”不能搭配，将“增加”改为“提高”或“提升”。,,1970-01-01 00:00:00,1.0
1561248404021248,260401.0,,4.0,,补写出下列名著名句中的空缺部分，限选 5 句。 （ 1 ）潦水尽而寒潭清， ____________________ 。（王勃《滕王阁序》） （ 2 ） ________________ ，序天伦之乐事。（李白《春夜宴从弟桃花园序》） （ 3 ） _______________ ，渚清沙白鸟飞回。（杜甫《登高》） （ 4 ）有志与力，而又不随以怠， _____________ ，亦不能至也。（王安石《游褒禅山记》） （ 5 ）羽扇纶巾，谈笑间， ___________ 。（苏轼的《念奴娇 · 赤壁怀古》） （ 6 ）鹰击长空，鱼翔浅底， ____________ 。（毛泽东《沁园春 · 长沙》）,,【详解】 本题考查学生名句的识记能力。名句默写分为两大类，一是给出语境的理解性默写，二是给出上句写下句的直接默写。本题属于后者。对于语境型默写，考生应先分析语境，然后再结合具体的语境回顾诗句。默写的时候要注意如下词语：“暮”“啸”“幽”“樯橹”“竞”。,,1970-01-01 00:00:00,2.0
1561249692680192,1007.0,,3.0,,【导语】 《邓稼先》主要讲述了中国著名核物理学家邓稼先在研制中国核武器过程中所做出的巨大贡献。他默默无闻地投身于国家的核武器事业，为提升国家的军事力量殚精竭虑。文章不仅展示了他的爱国情怀和科学家精神，也表现了他对家庭的牺牲以及与作者之间的深厚友情。通过邓稼先的生平事迹，作品表达了对国家和民族的深刻热爱以及对科学英雄无私奉献精神的敬仰。 【详解】 本题考查理解文章内容与作者情感。 结合“事后我追想为什么会有那样大的感情震荡，是为了民族而自豪？还是为了稼先而感到骄傲？ —— 我始终想不清楚”分析，作者说自己“始终想不清楚”是一种表达方式，并非真的想不清楚。他这样写是因为在面对邓稼先的成就时，作者内心交织着对民族的自豪和对好友邓稼先的骄傲，两种情感深刻而复杂。这种复杂的情感难以用简单的语言归结为一种感觉，因此作者用“想不清楚”来表现内心的矛盾和激动，表达了个人情感的复杂性。邓稼先为中国核武器事业做出的卓越贡献，是令整个中华民族感到自豪的，但同时邓稼先又是作者的好友，因而也引发了个人层面上的欣慰与骄傲。作者通过这种含蓄的语言表达，反映了他对邓稼先个人成就和时代意义的复杂情感，突显出对邓稼先既有民族骄傲又有私人友谊的深刻交融。,,,,1970-01-01 00:00:00,3.0
1561275168268288,2605.0,,4.0,,【分析】 试题分析： (1)题详解： 诗人先发议论：诗书传家能使后代成才，而遗金满篓往往给子孙招来祸害。赞美了胡逸老的诗礼传家，显示其品格的清高，令人仰慕。颔联承上，进一步赞美庵主的仁爱之心。说他在灾年能拿出粮食与贫人共享，和气必能致祥，后代必得佳子弟。颈联转到正面写致虚庵。白天闲坐庵中，眼前的山景如一幅幅图画映出；入夜倚于窗前，只觉风雨飒飒而来。宴坐的闲适，听雨的从容，都在不言之中，读者自能体会到。庵主高雅的人格、广阔的胸襟，与前两联一脉相承。以闲逸之心观山观水，山水的妙境能常现于心目之前。而山水的清淑之气又能涤荡肠胃，使此心（灵台，指心）澄清无滓，一尘不染。 (2)题详解： 之所以奇，是因为：第一，化静为动。将致虚庵依山傍水的位置，作了动态描写。“出”、“来”二字，将山水写活。第二，化实为虚。什么样的“画图”，尽可让读者去想象；夜来风雨是隔窗听到，并非眼见，也是虚写实事。第三，情景交融。五句写视觉，六句写听觉，整联都有能视能听的主体存在。宴坐的闲适，听雨的从容，都在不言之中，读者自能体会到。庵主高雅的人格、广阔的胸襟，与前两联一脉相承。只不过前两联是直叙，这里是衬托。 考点：鉴赏文学作品的形象。 鉴赏文学作品的表现手法。 点评：鉴赏文学作品形象，解答这类题目，可按照如下思路进行：①阅读诗歌，找出诗人描绘形象的相关诗句，仔细准确理解形象的基本含义。②结合诗句分析运用的表现技巧及其所表现的具体内容。③指出这种手法的运用表现了诗人（人物）怎样的心理、感情或人物形象的性格特征。④紧扣要求，整理思路，形成答案。表现手法是诗人用以抒发感情的手段方法，要准确答题，必须熟悉常用的一些表现手法。表现手法分抒情手法、描写手法、修辞手法三大类。因此，在做题之前应该首先分析从哪个角度考虑，才能有的放矢。,,,,1970-01-01 00:00:00,4.0
1561283083976704,1002.0,,3.0,,读下面这段文字，给加点字注音，根据拼音写汉字。 （ ） 立春过后，万物复苏，草木萌发，蛰虫涌动，大自然褪去冬的萧索，披上了新装，展露了笑颜。一年之 jì __(1)__ 在于春，我们怀 揣 __(2)__ 着各自瑰丽的梦想，向激情的六月进发。不管这一路是晴空万里，还是疾风 zhòu __(3)__ 雨，我们都要尽情地挥洒汗水，毅然前行。,,【详解】 试题分析：学生识记现代汉语普通话的字音和现代汉语的字形，注意多音字、形声字、形近字的读音和字形，能够准确辨别和识记。比如“一年之计”中“计”不能写成“际”；“怀揣”中“揣”不能读成“chuǎi”。 考点：识记并正确书写现代常用规范汉字。能力层级为识记A。,,1970-01-01 00:00:00,5.0
1561283496968192,1001.0,,3.0,,【分析】 【详解】 本题考查消息的相关知识，做好此题，要熟悉消息这一文体，还要掌握消息的相关知识。消息的结构具体表现为：标题、导语、主体、结尾，并在文中穿插背景。标题、导语、主体是必不可少的。故选A。,,,,1970-01-01 00:00:00,6.0
1561299888496640,1001.0,,3.0,,【详解】 A. 峰回路转：形容山势回环曲折，路也跟着转弯。但现今也有用这个成语形容事情出现转机。使用正确； B. 毋庸置疑，事实明显或理由充分，不必怀疑，根本就没有怀疑的余地。使用正确； C.扑朔迷离，原指难辨兔的雄雌，比喻辨认不清是男是女。后来形容事情错综复杂，不容易看清真相。此处望文生义。 D.相得益彰，汉语成语，意思是两人互相配合，作用更能显示出来。使用正确； 故选C。,,,,1970-01-01 00:00:00,7.0
1566529026506752,111.0,,2.0,,按一定顺序排列下列词语 . 1. 海鸟 动物 海鸥 生物 __(1)__ 2. 尽情游赏 慕名而来 怅然而返 恋恋不舍 __(2)__ 3. 一道红霞 晨曦初露 万道霞光 红日薄发 __(3)__,2JgilmFCTYGrZIQU,【详解】 略,,2025-03-04 15:58:44,9.0
1566754156920832,1205.0,,3.0,,【详解】 句意：我的名字是 Alan Miller 。 考查专有名词。英语中姓名属于专有名词，故姓和名的首字母都要大写，排除 ACD ；故选 B 。,,,,1970-01-01 00:00:00,10.0
